data_godzina, temperatura[st.C], przewodnosc[µS/cm], pH, tlen_rozpuszczony[mg/l]
"2024-04-29 15:00:21",15.099998,1841.0,8.709999,13.299999
"2024-04-29 16:00:18",15.289999,1848.0,8.74,13.57
"2024-04-29 17:00:18",15.419998,1854.0,8.7699995,13.619999
"2024-04-29 18:00:18",15.469999,1859.0,8.7699995,13.65
"2024-04-29 19:00:19",15.48,1861.0,8.759999,13.449999
"2024-04-29 20:00:20",15.439999,1868.0,8.74,13.289999
"2024-04-29 21:00:18",15.389999,1868.0,8.719999,12.959999
"2024-04-29 22:00:18",15.339998,1872.0,8.7,12.75
"2024-04-30 01:00:22",15.23,1876.0,8.639999,12.039999
"2024-04-30 02:00:18",15.179998,1875.0,8.61,11.789999
"2024-04-30 03:00:18",15.129999,1876.0,8.589999,11.589998
"2024-04-30 04:00:17",15.08,1880.0,8.57,11.349998
"2024-04-30 05:00:18",15.019999,1887.0,8.549999,11.139999
"2024-04-30 06:00:17",14.959999,1892.0,8.53,10.959999
"2024-04-30 07:00:18",14.929998,1894.0,8.5199995,10.879999
"2024-04-30 08:00:16",14.959999,1898.0,8.54,11.019999
"2024-04-30 09:00:18",15.08,1898.0,8.57,11.269999
"2024-04-30 10:00:19",15.279999,1897.0,8.599999,11.65
"2024-04-30 11:00:17",15.519999,1897.0,8.65,12.009998
"2024-04-30 12:00:22",15.769999,1893.0,8.69,12.419998
"2024-04-30 13:00:17",16.039999,1890.0,8.73,12.779999
"2024-04-30 14:00:17",16.32,1889.0,8.759999,13.25
"2024-04-30 15:00:16",16.57,1880.0,8.799999,13.509998
"2024-04-30 16:00:16",16.779999,1883.0,8.809999,13.759998
"2024-04-30 17:00:19",16.919998,1885.0,8.839999,13.759998
"2024-04-30 18:00:16",17.019999,1888.0,8.849999,13.83
"2024-04-30 19:00:17",17.029999,1891.0,8.849999,13.699999
"2024-04-30 20:00:16",16.99,1894.0,8.83,13.389999
"2024-04-30 21:00:21",16.939999,1896.0,8.809999,13.0
"2024-04-30 22:00:18",16.89,1896.0,8.78,12.779999
"2024-04-30 23:00:16",16.839998,1894.0,8.759999,12.5
"2024-05-01 00:00:16",16.789999,1886.0,8.74,12.259998
"2024-05-01 01:00:20",16.74,1870.0,8.719999,12.019999
"2024-05-01 02:00:17",16.679998,1855.0,8.7,11.789999
"2024-05-01 03:00:17",16.63,1842.0,8.629999,11.549999
"2024-05-01 04:00:17",16.56,1834.0,8.669999,11.33
"2024-05-01 05:00:19",16.49,1826.0,8.65,11.119999
"2024-05-01 06:00:20",16.419998,1821.0,8.629999,10.869999
"2024-05-01 07:00:17",16.359999,1817.0,8.629999,10.82
"2024-05-01 08:00:15",16.359999,1815.0,8.65,10.98
"2024-05-01 09:00:19",16.449999,1813.0,8.669999,11.23
"2024-05-01 10:00:18",16.589998,1813.0,8.7,11.639999
"2024-05-01 11:00:15",16.8,1812.0,8.74,12.039999
"2024-05-01 12:00:14",17.019999,1814.0,8.79,12.529999
"2024-05-01 13:00:15",17.259998,1817.0,8.82,12.98
"2024-05-01 14:00:16",17.48,1822.0,8.86,13.299999
"2024-05-01 15:00:14",17.689999,1825.0,8.879999,13.549999
"2024-05-01 16:00:16",17.869999,1830.0,8.919999,13.689999
"2024-05-01 17:00:17",17.99,1837.0,8.929999,13.74
"2024-05-01 18:00:18",18.039999,1852.0,8.94,13.789999
"2024-05-01 19:00:15",18.019999,1863.0,8.929999,13.75
"2024-05-01 20:00:13",17.949999,1878.0,8.919999,13.57
"2024-05-01 21:00:18",17.88,1890.0,8.9,13.23
"2024-05-01 22:00:17",17.82,1901.0,8.87,12.859999
"2024-05-01 23:00:13",17.75,1909.0,8.839999,12.429998
"2024-05-02 00:00:15",17.669998,1911.0,8.809999,12.08
"2024-05-02 01:00:14",17.609999,1903.0,8.79,11.91
"2024-05-02 02:00:16",17.55,1892.0,8.78,11.58
"2024-05-02 03:00:13",17.48,1884.0,8.759999,11.299999
"2024-05-02 04:00:17",17.4,1879.0,8.74,11.029999
"2024-05-02 05:00:16",17.32,1878.0,8.73,10.869999
"2024-05-02 06:00:17",17.24,1876.0,8.709999,10.66
"2024-05-02 07:00:15",17.189999,1876.0,8.709999,10.58
"2024-05-02 08:00:15",17.169998,1878.0,8.719999,10.679998
"2024-05-02 09:00:15",17.23,1881.0,8.74,10.99
"2024-05-02 10:00:14",17.349998,1883.0,8.78,11.41
"2024-05-02 11:00:13",17.529999,1884.0,8.809999,11.839998
"2024-05-02 12:00:11",17.74,1885.0,8.849999,12.33
"2024-05-02 13:00:19",17.97,1888.0,8.889999,12.809999
"2024-05-02 14:00:14",18.199999,1896.0,8.919999,13.16
"2024-05-02 15:00:13",18.41,1914.0,8.95,13.359999
"2024-05-02 16:00:16",18.55,1931.0,8.969999,13.619999
"2024-05-02 17:00:14",18.64,1944.0,8.98,13.639999
"2024-05-02 18:00:14",18.66,1957.0,8.98,13.41
"2024-05-02 19:00:14",18.66,1966.0,8.98,13.469999
"2024-05-02 20:00:14",18.609999,1978.0,8.959999,13.24
"2024-05-02 21:00:12",18.519999,1980.0,8.929999,12.83
"2024-05-02 22:00:14",18.439999,1977.0,8.919999,12.5
"2024-05-02 23:00:11",18.359999,1968.0,8.9,12.189999
"2024-05-03 00:00:12",18.279999,1959.0,8.87,11.98
"2024-05-03 01:00:15",18.22,1954.0,8.86,11.74
"2024-05-03 02:00:13",18.15,1945.0,8.839999,11.439999
"2024-05-03 03:00:12",18.08,1939.0,8.82,11.209999
"2024-05-03 04:00:13",17.99,1935.0,8.809999,10.939999
"2024-05-03 05:00:15",17.91,1935.0,8.79,10.709999
"2024-05-03 06:00:10",17.81,1937.0,8.7699995,10.449999
"2024-05-03 07:00:12",17.75,1938.0,8.7699995,10.419998
"2024-05-03 08:00:10",17.759998,1941.0,8.78,10.639999
"2024-05-03 09:00:10",17.849998,1943.0,8.809999,11.029999
"2024-05-03 10:00:11",17.99,1945.0,8.839999,11.509998
"2024-05-03 11:00:10",18.14,1946.0,8.87,11.99
"2024-05-03 12:00:11",18.38,1949.0,8.9,12.549999
"2024-05-03 13:00:09",18.609999,1953.0,8.919999,13.089998
"2024-05-03 14:00:09",18.74,1968.0,8.94,13.419998
"2024-05-03 15:00:13",18.73,1985.0,8.929999,13.089998
"2024-05-03 16:00:14",18.75,2002.0,8.94,13.139999
"2024-05-03 17:00:11",18.82,2016.0,8.95,13.059999
"2024-05-03 18:00:11",18.83,2029.0,8.94,12.9
"2024-05-03 19:00:11",18.8,2037.0,8.929999,12.949999
"2024-05-03 20:00:09",18.759998,2031.0,8.919999,12.869999
"2024-05-03 21:00:09",18.71,2023.0,8.9,12.629999
"2024-05-03 22:00:09",18.669998,2017.0,8.879999,12.369999
"2024-05-03 23:00:10",18.619999,2012.0,8.87,12.049999
"2024-05-04 00:00:09",18.57,2012.0,8.849999,11.799999
"2024-05-04 01:00:19",18.519999,2010.0,8.83,11.539999
"2024-05-04 02:00:28",18.46,2011.0,8.809999,11.23
"2024-05-04 03:00:28",18.4,2008.0,8.799999,11.009998
"2024-05-04 04:00:28",18.339998,2008.0,8.78,10.75
"2024-05-04 05:00:28",18.269999,2008.0,8.759999,10.539999
"2024-05-04 06:00:28",18.189999,2011.0,8.74,10.309999
"2024-05-04 07:00:28",18.13,2013.0,8.74,10.289999
"2024-05-04 08:00:28",18.119999,2015.0,8.75,10.49
"2024-05-04 09:00:28",18.109999,2018.0,8.759999,10.709999
"2024-05-04 10:00:28",18.179998,2019.0,8.78,11.07
"2024-05-04 11:00:28",18.279999,2019.0,8.82,11.48
"2024-05-04 12:00:28",18.4,2030.0,8.849999,11.779999
"2024-05-04 13:00:28",18.65,2045.0,8.9,11.929998
"2024-05-04 14:00:28",18.99,2055.0,8.94,12.459999
"2024-05-04 15:00:28",19.24,2080.0,8.95,13.599998
"2024-05-04 16:00:28",19.439999,2080.0,9.0,13.959999
